Date,Open,High,Low,Close,Adj Close,Volume
3/1/2022,242.910004,243.770004,231.320007,234.770004,234.680405,41205600
3/2/2022,237.559998,244.089996,234.149994,242.199997,242.148804,38964200
3/3/2022,242.619995,243.259995,234.690002,237.139999,237.089874,36509500
3/4/2022,233.839996,236.800003,224.820007,229.360001,229.311523,43141500
3/7/2022,228.169998,230.330002,213.300003,213.520004,213.474869,45082100
3/8/2022,213.089996,223.729996,206.5,215.139999,215.094528,55746700
3/9/2022,223.869995,232.199997,222.470001,230.139999,230.091354,49274200
3/10/2022,225.309998,227.880005,218.820007,226.580002,226.53212,42806600
3/11/2022,230.220001,231.449997,220.460007,221,220.953293,36720900
3/14/2022,218.690002,222.619995,211.589996,213.300003,213.254913,38535400
3/15/2022,215.179993,230.380005,213.220001,229.729996,229.681442,49199600
3/16/2022,235,245.970001,231.720001,244.960007,244.908234,67142200
3/17/2022,241.199997,248.419998,239.059998,247.660004,247.607666,47194100
3/18/2022,247.990005,265.690002,246.240005,264.529999,264.474091,73071900
3/21/2022,265.070007,271.519989,259.670013,267.339996,267.283478,59172700
3/22/2022,267.269989,272.380005,260.720001,265.23999,265.183929,54700700
3/23/2022,261.26001,266.119995,255.75,256.339996,256.285828,50212000
3/24/2022,261.660004,283.200012,259.070007,281.5,281.440491,87737900
3/25/2022,278.859985,283.579987,272.709991,276.920013,276.861481,57901600
3/28/2022,277.559998,282.5,272.059998,282.190002,282.130371,42549400
3/29/2022,286.950012,289.459991,279.799988,286.559998,286.49942,48898400
3/30/2022,283.040009,284.959991,275.029999,276.899994,276.841461,46348700
3/31/2022,277.820007,282.480011,272.700012,272.859985,272.802307,52344000
4/1/2022,273.75,274.959991,262.670013,267.119995,267.063538,51723500
4/4/2022,267.279999,275.579987,266.130005,273.600006,273.542175,39712000
4/5/2022,272.540009,273.190002,258.200012,259.309998,259.255188,43661500
4/6/2022,249.339996,253,240.029999,244.070007,244.018417,70383300
4/7/2022,244.410004,247.220001,234.779999,242.080002,242.028839,55799200
4/8/2022,239.169998,239.229996,230.619995,231.190002,231.141144,52478100
4/11/2022,222.139999,223.199997,216.600006,219.169998,219.123672,57520700
4/12/2022,225.369995,227.25,212.820007,215.039993,214.994537,66225800
4/13/2022,217.279999,225,214.550003,222.029999,221.983078,51694300
4/14/2022,225.050003,227.770004,211.630005,212.580002,212.535065,56909700
4/18/2022,212,220.880005,210.789993,217.830002,217.783966,52570100
4/19/2022,217.199997,223.729996,213.139999,221.979996,221.933075,51278100
4/20/2022,225.169998,226.699997,212,214.820007,214.774597,46897400
4/21/2022,217.089996,223.919998,200,201.830002,201.787338,65620900
4/22/2022,203.029999,204.860001,195,195.149994,195.108749,62471300
4/25/2022,192.020004,199.449997,190.960007,199.020004,198.977936,64156600
4/26/2022,197.179993,197.880005,186.699997,187.880005,187.840302,65314300
4/27/2022,185.979996,191.669998,182.899994,184.149994,184.111069,49946000
4/28/2022,189.669998,200.369995,184.899994,197.820007,197.778198,57032700
4/29/2022,194.020004,201.279999,185.169998,185.470001,185.430801,50043500
5/2/2022,185.410004,195.740005,183.910004,195.330002,195.288712,57204900
5/3/2022,194,198.25,191.330002,196.020004,195.978577,47575100
5/4/2022,199.229996,204,187.509995,203.339996,203.297012,64885500
5/5/2022,198.669998,199.25,185,188.440002,188.400177,62633100
5/6/2022,187.360001,195.119995,179.899994,186.75,186.710526,63329700
5/9/2022,180.339996,182.550003,168.270004,169.5,169.464172,64445500
5/10/2022,176.889999,181.979996,170.25,175.949997,175.912811,76147400
5/11/2022,173.470001,177.529999,165.679993,166.300003,166.264847,67016700
5/12/2022,162.190002,167.880005,155.669998,161.75,161.71582,70872800
5/13/2022,167.880005,179.279999,165.929993,177.059998,177.022568,67043700
5/16/2022,175.089996,177.880005,171.059998,172.639999,172.603516,52144600
5/17/2022,180.740005,183.710007,176.339996,181.770004,181.731583,58583000
5/18/2022,177.050003,181.179993,168.639999,169.380005,169.344208,54516100
5/19/2022,169.369995,176.869995,167.339996,171.240005,171.203812,62131000
5/20/2022,173.320007,174.100006,157.550003,166.940002,166.904724,73910500
5/23/2022,162.740005,169.149994,161.789993,168.979996,168.944275,63988900
5/24/2022,165.100006,165.970001,157.800003,161.539993,161.505844,58855000
5/25/2022,160.199997,171.110001,160,169.75,169.714127,78113200
5/26/2022,160.360001,180.919998,160.220001,178.509995,178.47226,99657500
5/27/2022,181.860001,188.809998,181,188.110001,188.070236,73837900
5/31/2022,189.800003,192,183.5,186.720001,186.680542,66410000
6/1/2022,187.240005,190.529999,181.220001,183.199997,183.16127,54451400
6/2/2022,182.919998,196.190002,181.979996,195.919998,195.878586,64865600
6/3/2022,190.820007,193.320007,185.220001,187.199997,187.160431,59848000
6/6/2022,191.389999,193.369995,185.639999,187.860001,187.820297,42240600
6/7/2022,184.720001,190,181.880005,189.259995,189.219986,38891400
6/8/2022,187.990005,191.800003,185.350006,186.479996,186.479996,36325200
6/9/2022,184.809998,189.330002,180.410004,180.479996,180.479996,39557400
6/10/2022,176,176.970001,168.690002,169.740005,169.740005,46524800
